image_link,group_id,entity_name,entity_value,easyocr
https://m.media-amazon.com/images/I/61+40BOJSQL.jpg,574059,depth,33.0 centimetre,A4 SIZE 23CM 33CM
https://m.media-amazon.com/images/I/516pgePFERL.jpg,573063,depth,7.1 inch,Product Size Planner Papes JUSTFOR YOU So ulanto TourFnnaet 5 9 0.3in ALways 8 0 5 BE A unicorn GIR= Gua 4.2in 3.8in
https://m.media-amazon.com/images/I/618UHY-K+pL.jpg,675317,depth,69.0 millimetre,LeapMars 4mm/I.IEin E9mm/2.Tin @IBkg/0.4lb 2Emm /0.98in  8
https://m.media-amazon.com/images/I/51DwjVJNNoL.jpg,329793,depth,21.0 centimetre,2lcm Ve
https://m.media-amazon.com/images/I/51T8JAr6VsL.jpg,734280,depth,28.5 centimetre,6 cm 28.5
https://m.media-amazon.com/images/I/612hPRJW3jL.jpg,881883,depth,108.0 inch,HOW TO MEASURE Pole Width Bracket] ANJEE FOR BETTER LIVING 84in Pole Width (suggestion) 95in 52in (wide) 108in 16-36in Please allow a slight deviation of 1 inch in case of measuring error Floor
https://m.media-amazon.com/images/I/61B-rTITDaL.jpg,961155,depth,2.5 inch,"Packing List Packing Box 2 2.5 Drive Enclosure User Manual EVA Foam Pad 5 Data Cable 52g8 23iu89 2.5 HARD _ INCH DRIVE - ENCLOSURE G2n52"" 2577 Geico TIATI#SirRED And Dritr  'cOlt Enclosu ~scies Us MIIUJ"
https://m.media-amazon.com/images/I/51oKtxFGL0L.jpg,966823,depth,10.0 inch,"5 IN 12,7 CM 10 IN 25,4 CM 4 IN 10,1 CM"
https://m.media-amazon.com/images/I/51SssIEHhVL.jpg,146860,depth,9.5 centimetre,9.5CM 2 17.SCM 13CM 30CM SCM 9CM 12.5CM 8CM
https://m.media-amazon.com/images/I/412hMOjbEmL.jpg,254590,depth,4.4 inch,Decora Fo3uN ALLUKINIO ALUMiNUX*u5 HQJXDE ALUKiniO 44 in 11 cm 841*J Rae
https://m.media-amazon.com/images/I/51o4gQkQ9aL.jpg,514726,depth,20.0 inch,"Size Chart in 14 in 20 Designed for 1 3x18 14*19, 12 * 16 (loose fit) toddler pillow or travel pillow"
https://m.media-amazon.com/images/I/51VS9HUBpBL.jpg,358831,depth,1.06 inch,"PRODUCT  SIZE 1.06"" 0.39"""
https://m.media-amazon.com/images/I/614fQWV4ciS.jpg,630869,depth,80.0 millimetre, 1 1 1 0 ! { 2 1 1 1Omm 20mm 30mm 40mm 5Omm 60mm 7Omm 80mm mm Inches
https://m.media-amazon.com/images/I/51CWmFleLGL.jpg,941818,depth,27.0 centimetre,DIMENSIONS Suitable For Most Toilet Paper Roll 10_ 3 .93in/1Ocm 3.93in/1Ocm 5. 5 62in/27cm 1in/13cm 1in/13cm
https://m.media-amazon.com/images/I/51VS9HUBpBL.jpg,358831,depth,1.06 inch,"PRODUCT  SIZE 1.06"" 0.39"""
https://m.media-amazon.com/images/I/61DiLVxBVbL.jpg,675317,depth,2.75 inch,"Door Thickness: 35 to 45 mm (1-3/8""t0 1-3/4"") Adjustable Latch with 2-3/8""or 2-3/4"" (60 or 7Omm) backset '(65mm) 2-5/8""( 4-7/10""(119mm)"
https://m.media-amazon.com/images/I/51N2V8Hem6L.jpg,156839,depth,19.0 centimetre,Icm/O 4inch 19cm/7. 4inch
https://m.media-amazon.com/images/I/41NRgWsF5EL.jpg,658892,depth,8.3 inch,II 85
https://m.media-amazon.com/images/I/614KSw47IvL.jpg,784538,depth,13.6 inch,"13.6 4.2"" 3.3"""
https://m.media-amazon.com/images/I/516fOC29j+L.jpg,881883,depth,71.37 inch,70 6 7 15.Sinches 4Ocm ) 71.37inches (181cm ) DIMENSIONS AFTER HANGING 34inches 86cm ) #Color may differ depending on which device you're viewing on_
https://m.media-amazon.com/images/I/51XTElvZ4PL.jpg,713791,depth,4.7 inch,4.7 in / 12 cm 3.1 in 8.0 cm
