image_link,group_id,entity_name,entity_value,tesseract,doctr,easyocr,kerasocr,ensemble_output
https://m.media-amazon.com/images/I/61+40BOJSQL.jpg,574059,depth,33.0 centimetre,A4 SIZE _——— 23CM 33CM,A4 SIZE S 23CM 33CM,A4 SIZE 23CM 33CM,size a4 23cm 33cm,size a4 23cm 33cm
https://m.media-amazon.com/images/I/516pgePFERL.jpg,573063,depth,7.1 inch,"7.Ain Product Size aseeae pet DA fei Souton to You Panne st rr 4, ALWAYS OES ~ AUNICORN 6.8in Sin 4.2in",Product Size Planner Papes JUSTFORYOU AFlexble Solution toYour Planner Customiation * 5 0.3in ALWAYS 6 5 BE A UNICORN Aak S bly as Crut uas 4.2in 3.8in,Product Size Planner Papes JUSTFOR YOU So ulanto TourFnnaet 5 9 0.3in ALways 8 0 5 BE A unicorn GIR= Gua 4.2in 3.8in,product size planner papes just for you sotation your pamner cus o e o e o o 3in always f be unicorn a o o olun sces blck gir coa 4 38in 21n,"7.Ain Product Size aseeae pet DA fei Souton to You Panne st rr 4, ALWAYS OES ~ AUNICORN 6.8in Sin 4.2in"
https://m.media-amazon.com/images/I/618UHY-K+pL.jpg,675317,depth,69.0 millimetre,a&m~ LeapMars wa Ammn Tu6in 69mm 2.7in O.18kg 0.41b,LeapMars NE A 4mm D.bin 1 69mm 2.7in 0.18kg 0.41b,LeapMars 4mm I.IEin E9mm 2.Tin IBkg 0.4lb 2Emm 0.98in 8,leapmars zommfaoin smmizlin ammligin gammilin libkg io4b,leapmars zommfaoin smmizlin ammligin gammilin libkg io4b
https://m.media-amazon.com/images/I/51DwjVJNNoL.jpg,329793,depth,21.0 centimetre,,* - c -,2lcm Ve,dg 21cm san,2lcm Ve
https://m.media-amazon.com/images/I/51T8JAr6VsL.jpg,734280,depth,28.5 centimetre,—_ mm,5 12 28.5 cm,6 cm 28.5,s cm 5 281,5 12 28.5 cm
https://m.media-amazon.com/images/I/612hPRJW3jL.jpg,881883,depth,108.0 inch,HOW TO MEASURE Pole Width Bracket FOR NJ LIVING ' ' ' . ' 84in Pole Width root : suggestion ' 95in ' 92in (suge ) ' n (wide) 108in! + 16-36in Please allow a slight deviation ! ! of 1 inch in case of i measuring error 1 v Y Floor,HOW TO MEASURE Pole Width 1 Bracket - ANEE I FOR BETTER LIVING - - I I - I . I I 84in Pole Width - I - I (suggestion) I 95in I 52in I I I I . (wide) 108in I I I I I - 16-361n I I I I I - - Please allow a slight deviation of 1 inch in case of measuring error . I I I - I I Floor,HOW TO MEASURE Pole Width Bracket] ANJEE FOR BETTER LIVING 84in Pole Width (suggestion) 95in 52in (wide) 108in 16-36in Please allow a slight deviation of 1 inch in case of measuring error Floor,how measure to width pole bracket anjee for better living 841n width pole 951n suggestion 521n 1081n wide 16361n please allow slight deviation a of 1 inch 1n of case measuring error floor,HOW TO MEASURE Pole Width Bracket] ANJEE FOR BETTER LIVING 84in Pole Width (suggestion) 95in 52in (wide) 108in 16-36in Please allow a slight deviation of 1 inch in case of measuring error Floor
https://m.media-amazon.com/images/I/61B-rTITDaL.jpg,961155,depth,2.5 inch,Packing List Packing Box © 2.5 Drive Enclosure © User Manual EVA Foam Pad ©®Data Cable,Packing List - G CRED. - 0 HIRO i - 2 0 R OPLE E G G 5 ERCN G 35 ERED CRED 4 - Sase 0 Packing Box 2) 2.5 Drive Enclosure (3 User Manual 4 EVA Foam Pad 5[ Data Cable,"Packing List Packing Box 2 2.5 Drive Enclosure User Manual EVA Foam Pad 5 Data Cable 52g8 23iu89 2.5 HARD _ INCH DRIVE - ENCLOSURE G2n52"" 2577 Geico TIATI#SirRED And Dritr 'cOlt Enclosu ~scies Us MIIUJ",packing list gcricc picg s 25inch hard drive enclosure scrisce 2577 eckicc stamnaeatie tooltree maddive sides cover enclosue series ce uscrmanual aieet packing 5 drive box 2 enclosure 2 user manual cable eva pad 5 data foam,Packing List Packing Box © 2.5 Drive Enclosure © User Manual EVA Foam Pad ©®Data Cable
https://m.media-amazon.com/images/I/51oKtxFGL0L.jpg,966823,depth,10.0 inch,"51N 12,7 CM","4 5IN 12,7 CM 101 IN 25,4 CM 4IN 10,1 CM","5 IN 12,7 CM 10 IN 25,4 CM 4 IN 10,1 CM",5 in 127 cm 10 in 254 cm 4 in 101 cm,5 in 127 cm 10 in 254 cm 4 in 101 cm
https://m.media-amazon.com/images/I/51SssIEHhVL.jpg,146860,depth,9.5 centimetre,17.5CM 13CM =,9.5CM C a 17.5CM 13CM 30CM 5CM 9CM 12.5CM 8CM,9.5CM 2 17.SCM 13CM 30CM SCM 9CM 12.5CM 8CM,5cm carses a 175cm 13cm 3ocm 5cm gcm 125cm 8cm,17.5CM 13CM =
https://m.media-amazon.com/images/I/412hMOjbEmL.jpg,254590,depth,4.4 inch,,Decora FOGI IN. ALLUMINIO ALUMINIUM: SHEETS HOJAS DE ALUMINIO Pwi Hoktk- a 4.4 in Por foof wepins Paafarnasdo Me 11cm Coet sog Da 3ax10 a HMETA,Decora Fo3uN ALLUKINIO ALUMiNUX*u5 HQJXDE ALUKiniO 44 in 11 cm 841*J Rae,decora alluninio orl in aluminium sueets dlalwnine hoas 44 in ces pu eloo asse 11 cm pea ccel uog des allosn cunne,Decora Fo3uN ALLUKINIO ALUMiNUX*u5 HQJXDE ALUKiniO 44 in 11 cm 841*J Rae
