image_link,group_id,entity_name,entity_value,keras_ocr_text
https://m.media-amazon.com/images/I/61+40BOJSQL.jpg,574059,depth,33.0 centimetre,size a4 23cm 33cm
https://m.media-amazon.com/images/I/516pgePFERL.jpg,573063,depth,7.1 inch,product size planner papes just for you sotation your pamner cus o e o e o o 3in always  f be unicorn a o o olun sces blck gir coa 4 38in 21n
https://m.media-amazon.com/images/I/618UHY-K+pL.jpg,675317,depth,69.0 millimetre,leapmars zommfaoin smmizlin ammligin gammilin libkg io4b
https://m.media-amazon.com/images/I/51DwjVJNNoL.jpg,329793,depth,21.0 centimetre,dg 21cm san
https://m.media-amazon.com/images/I/51T8JAr6VsL.jpg,734280,depth,28.5 centimetre,s cm 5 281
https://m.media-amazon.com/images/I/612hPRJW3jL.jpg,881883,depth,108.0 inch,how measure to width pole bracket anjee for better living 841n width pole 951n suggestion 521n 1081n wide 16361n please allow slight deviation a of 1 inch 1n of case measuring error floor
https://m.media-amazon.com/images/I/61B-rTITDaL.jpg,961155,depth,2.5 inch,packing list gcricc picg s 25inch hard drive enclosure scrisce 2577 eckicc stamnaeatie tooltree maddive sides cover enclosue series ce uscrmanual aieet packing 5 drive box 2 enclosure 2 user manual cable eva pad 5 data foam
https://m.media-amazon.com/images/I/51oKtxFGL0L.jpg,966823,depth,10.0 inch,5 in 127 cm 10 in 254 cm 4 in 101 cm
https://m.media-amazon.com/images/I/51SssIEHhVL.jpg,146860,depth,9.5 centimetre,5cm carses a 175cm 13cm 3ocm 5cm gcm 125cm 8cm
https://m.media-amazon.com/images/I/412hMOjbEmL.jpg,254590,depth,4.4 inch,decora alluninio orl in aluminium sueets dlalwnine hoas 44 in ces pu eloo asse 11 cm pea ccel uog des allosn cunne
https://m.media-amazon.com/images/I/51o4gQkQ9aL.jpg,514726,depth,20.0 inch,size chart in 14 in 20 designed 1 3x18 for loose fitl 199 12x16 14x toddler pillow travel pillow or
https://m.media-amazon.com/images/I/51VS9HUBpBL.jpg,358831,depth,1.06 inch,product size 1061 0391
https://m.media-amazon.com/images/I/614fQWV4ciS.jpg,630869,depth,80.0 millimetre,s a s s s s s s s ss s e 1omm 2omm 3omm 4omm somm gomm zomm somm mm inches
https://m.media-amazon.com/images/I/51CWmFleLGL.jpg,941818,depth,27.0 centimetre,dimensions suitable roll for most toilet paper gbinllocm 62inizzcm 3 10 31 gbinllocm 511in113cm 511in113cm
https://m.media-amazon.com/images/I/51VS9HUBpBL.jpg,358831,depth,1.06 inch,product size 1061 0391
https://m.media-amazon.com/images/I/61DiLVxBVbL.jpg,675317,depth,2.75 inch,door thicknesst 35 45 to mm 1318t0 13149 65mml 25181 4710119mml adjustable latch with 23180r 2314 60 zomml backset or
https://m.media-amazon.com/images/I/51N2V8Hem6L.jpg,156839,depth,19.0 centimetre,icmloainch 19cml ainch
https://m.media-amazon.com/images/I/41NRgWsF5EL.jpg,658892,depth,8.3 inch,83
https://m.media-amazon.com/images/I/614KSw47IvL.jpg,784538,depth,13.6 inch,13 61  31 3 421
https://m.media-amazon.com/images/I/516fOC29j+L.jpg,881883,depth,71.37 inch,155inches 4ocm d 71bzinches 181cm dimensions after hanging bainches he ee 6cm color differ depending which device viewing you re may on ons
https://m.media-amazon.com/images/I/51XTElvZ4PL.jpg,713791,depth,4.7 inch,12 47 in l cm on si 80 31 in l cm
https://m.media-amazon.com/images/I/615szmmtuhL.jpg,784538,depth,24.0 inch,24inch sum 16inch
https://m.media-amazon.com/images/I/61AWQHsV+XS.jpg,483370,depth,8.0 inch,gin 8in
https://m.media-amazon.com/images/I/414i+KmnbTL.jpg,764618,depth,15.0 centimetre,59inl 15cm 1l8inl3ocm
https://m.media-amazon.com/images/I/519LbAygXTL.jpg,323811,depth,105.0 millimetre,s t g 105mm 75mm 2omm
https://m.media-amazon.com/images/I/51QU6GSs88L.jpg,667819,depth,150.0 millimetre,60 50 zo 80 stainless 90 steel 10 100 20 30 40 15omm 150
